event_idx,file,fire_time_s,pitch_starting_actual_deg,yaw_starting_actual_deg,pitch_starting_target_deg,yaw_starting_target_deg,pitch_target_range_deg,yaw_target_range_deg,target_motion_vector_deg,pitch_peak_abs_deg,yaw_peak_abs_deg,disturbance_vector_abs_deg,pitch_peak_time_s,yaw_peak_time_s,fire_to_muzzle_s,fire_to_impact_s,description
277,motion_disturbance/11_event_277.svg,6194.766865664001,14.080200022351741,2.0519999999999996,14.723145833505034,2.1733675757428372,5.795263572923341,2.8499952618209647,6.4581384989836,0.24207456372927005,0.17658190653010308,0.2996352184215375,0.43620019199988747,0.4250687999992806,0.040017151999563794,0.12827033599933202,"Event 277: start pitch 14.08 deg, yaw 2.05 deg; target motion vector 6.46 deg; disturbance vector 0.30 deg."
278,motion_disturbance/12_event_278.svg,6195.068518912,16.91880002235174,3.276,17.648571316056866,3.483208688545865,5.044039854867506,4.348845407505841,6.659939521938353,0.35346983601339677,0.20587838697292682,0.4090560294066227,0.48309580800014373,0.474272256000404,0.04024524800024665,0.12048486399999092,"Event 278: start pitch 16.92 deg, yaw 3.28 deg; target motion vector 6.66 deg; disturbance vector 0.41 deg."
12,motion_disturbance/13_event_12.svg,582.1251673600001,9.738,3.396599999999996,10.145807299971608,3.8521324927762457,1.562884297524544,5.616186344701859,5.829593157833951,0.47684482372190473,0.3999445055199047,0.6223637147247062,0.4979199999999082,0.2687385599999743,0.039827199999990626,0.09940300799996749,"Event 12: start pitch 9.74 deg, yaw 3.40 deg; target motion vector 5.83 deg; disturbance vector 0.62 deg."
372,motion_disturbance/14_event_372.svg,10025.032253952,2.376525696574342,4.0229498677394275,2.194874632266748,4.015658939208791,1.83624094760507,0.507592727946161,1.9051066099106873,2.067350155132197,1.65398194498691,2.6475635853115596,0.18027647999952023,0.06532223999965936,0.04025600000022678,0.19657881599960092,"Event 372: start pitch 2.38 deg, yaw 4.02 deg; target motion vector 1.91 deg; disturbance vector 2.65 deg."
220,motion_disturbance/15_event_220.svg,3809.089538816,10.9998,8.4744,10.642326902208392,9.606262300371885,10.315530724473785,14.050302477866829,17.43046682814644,2.6781307244737818,1.567133127175083,3.102948664683323,0.4711413760001051,0.4689751040000374,0.039764736000051926,0.07412428799989357,"Event 220: start pitch 11.00 deg, yaw 8.47 deg; target motion vector 17.43 deg; disturbance vector 3.10 deg."
305,motion_disturbance/16_event_305.svg,6933.327833088,7.667999999999999,10.3486,7.480397019116495,10.868028630519591,3.3649520551501926,10.304858816269462,10.840342132825235,1.4495860512462695,2.882942935275225,3.22686530366873,0.186898175999886,0.22797849600010522,0.039835391999986314,0.11853235200032941,"Event 305: start pitch 7.67 deg, yaw 10.35 deg; target motion vector 10.84 deg; disturbance vector 3.23 deg."
288,motion_disturbance/17_event_288.svg,6770.790717696001,5.203799999999999,13.756,4.847771961772562,15.245705131428952,3.3969938016783665,7.947667327389983,8.64320443096792,2.0844125174287633,1.0374652673117204,2.3283276667367705,0.1632949759996336,0.2146201599998676,0.04025344000001496,0.13738521599952946,"Event 288: start pitch 5.20 deg, yaw 13.76 deg; target motion vector 8.64 deg; disturbance vector 2.33 deg."
340,motion_disturbance/18_event_340.svg,7802.551824384001,7.862400000000001,15.285999999999998,7.5965984971396345,15.707581734230082,3.59770676869854,6.049458397765914,7.03842602432105,2.6268706941500923,1.4927559452866923,3.021385436513083,0.49660211199989135,0.07366732799982856,0.04055731199969159,0.15159500800018577,"Event 340: start pitch 7.86 deg, yaw 15.29 deg; target motion vector 7.04 deg; disturbance vector 3.02 deg."
298,motion_disturbance/19_event_298.svg,6882.056446208,4.6638,18.1804,4.421960126364514,18.564438091593047,2.9740750618690086,5.079472273327589,5.886098966984406,2.1734614706878492,1.8009220371883732,2.8226326272817204,0.19773440000062692,0.07558656000037445,0.0407009280006605,0.15799040000001696,"Event 298: start pitch 4.66 deg, yaw 18.18 deg; target motion vector 5.89 deg; disturbance vector 2.82 deg."
363,motion_disturbance/20_event_363.svg,8137.219106560001,7.450199999999999,20.0794,7.231796873197606,20.430406543303857,2.481039086552787,4.792327447421091,5.396476379296794,1.5221428569459885,1.8320895722034418,2.3819049262152103,0.2074030079993463,0.06649292799920659,0.040161023999644385,0.20340249599939852,"Event 363: start pitch 7.45 deg, yaw 20.08 deg; target motion vector 5.40 deg; disturbance vector 2.38 deg."
284,motion_disturbance/21_event_284.svg,6740.680365824001,1.7856000000000005,20.7562,1.5378460911578262,21.058452764136966,3.078427803919631,4.88277604254376,5.7721936580112025,1.4901484590007295,3.170404759569891,3.503142698972691,0.19291647999943962,0.4327715839999655,0.04066355200029648,0.18429491200004122,"Event 284: start pitch 1.79 deg, yaw 20.76 deg; target motion vector 5.77 deg; disturbance vector 3.50 deg."
368,motion_disturbance/22_event_368.svg,8198.669093376,4.4262,25.1968,4.179424617729634,25.3882046323809,2.703300995248359,2.6320938347326575,3.7730298469199037,2.6944460567800377,1.568285704423996,3.1176208242180707,0.190836992000186,0.0670704639996984,0.03928448000078788,0.2269611520005128,"Event 368: start pitch 4.43 deg, yaw 25.20 deg; target motion vector 3.77 deg; disturbance vector 3.12 deg."
296,motion_disturbance/23_event_296.svg,6792.987984128001,-1.0980000000000008,26.113,-1.5286941253063517,26.250616933403425,2.1216333333790107,2.281436575195663,3.115490466675423,0.42834234255080794,0.12880839260596133,0.44729046986007337,0.4996482560000004,0.4005104640000354,0.0526233599994157,0.21841459200004465,"Event 296: start pitch -1.10 deg, yaw 26.11 deg; target motion vector 3.12 deg; disturbance vector 0.45 deg."
354,motion_disturbance/24_event_354.svg,8025.017533952,-2.8133999999999997,29.770599999999998,-3.0589103333541123,29.98070432020808,1.8834757774452537,2.8530904683682046,3.4187141186294743,2.2868423627453724,1.6611010262216155,2.8264650380574925,0.17372288000024128,0.07254783999997017,0.04059391999999207,0.31698124800004734,"Event 354: start pitch -2.81 deg, yaw 29.77 deg; target motion vector 3.42 deg; disturbance vector 2.83 deg."
